Country Name,Country Code,PBI_Crecimiento,fin_educ_prim,fin_educ_prim_m,fin_educ_prim_h,gasto_educacion_total,gasto_educacion_total_gobierno,gasto_primaria,gasto_secundaria,inasistencia_escuela,inasistencia_primaria_mujeres,inscripcion_preprimario,inscripcion_primaria,inscripcion_secundaria,PBI_percapita,perseverancia_escuela_M,perseverancia_escuela_V,repetidores_primaria_M,repetidores_primaria_V,transicion_secudaria_M,transicion_secudaria_V,prevalencia_desnutricion,inflación_preciosconsumidor,Ahorro neto ajustado,Cargos_propiedad intelectual,Gastos_%PIB,Agricul_silvicul_pesca_PIB,Inversión_extranj.direc,AOD_neto,Asistencia neta recibida,formación bruta de capital,importaciones_bys,industria,inflación_PIB,2017,ingresos_nosubvenciones,remesas personales,PBI,Crecimiento_PBI,exportaciones_bys
Albania,ALB,3.89774060579526,101.983703613281,103.633232116699,100.562423706055,3.61172008514404,12.3908004760742,34.18148,7.97805,,,83.8200836181641,95.53947,86.6726,4531.0193737689,93.2599334716797,91.6376495361328,0.76162,1.07166,98.47478,98.57902,1.5,4.1,0.152978159669621,10991466.0499114,23.8675950975239,19.0221488477376,1022757857.07377,1.28989200629084,168350006.103516,25.0525458760709,46.624465948041,20.3583670021185,1.45106269946422,2.0605984592022,25.7331368559535,1311822432.138,13019689336.6919,3.80222740018748,31.5698080476189
Andorra,AND,0.734439351000333,,,,3.21708989143372,9.39243984222412,12.72411,13.56321,,,,,,38964.904478265,,,1.02489,0.94851,,,,,,,,,,,,,,,1.13650934319639,,,,3000180750.11297,0.346071889630295,
Angola,AGO,-3.40998337557743,,,,2.46688008308411,6.76378011703491,,,,,,,,4095.8100568707,,,,,,,,15.4,0.819796317704353,11569560,16.6711371453949,10.016995912763,-7397295409.18991,0.194750910562617,223220001.220703,24.1303045822126,23.2527213968366,42.1679535486771,22.6145115319501,29.8435866918797,16.3605913482519,1418195.84,122123822333.591,-0.147212941085755,29.0041000519815
Argentina,ARG,1.75764818265694,99.962760925293,99.6932067871094,100.222793579102,5.45431995391846,13.2639198303223,14.97726,20.6226,,,76.0847320556641,99.184,90.79605,14613.041824658,94.4696273803711,93.9593963623047,3.15431,3.45051,,,,3.1,4.80646196726528,356498295.973946,24.2825320419979,5.23162237725058,11516861462.2845,-0.00018652817777187,-1169999.95708466,18.2125671747754,13.9693177780045,21.782123219335,26.0063792819079,,19.3371239744582,479937459.808431,643628665302.155,2.81850297775918,11.3202833596733
Armenia,ARM,7.18452239016769,91.9877090454102,92.5356597900391,91.5109405517578,2.70759010314941,10.4031295776367,10.15365,,5333,4628,37.2128715515137,91.94625,,3914.52785436696,93.6105499267578,95.165283203125,0.28835,0.23075,98.78911,97.8051,,3.1,3.48046350709534,0,22.6297249923647,14.9942601242776,250935110.239139,2.15824999132037,257540008.544922,18.4217402148728,48.9863308847905,25.8095323791656,2.15064189848613,0.969553268816231,22.5254651052115,1538655751.77642,11527458565.7334,7.50000000164144,38.2160456550464
Aruba,ABW,1.51982143378811,,,,,,,,,,,,,29350.8050189137,,,,,,,,,,,,,162463551.517038,,,20.5511841444614,71.2555732965577,,1.61405154661192,-1.02828178762002,,56140340.1581912,3092430167.59777,1.9999991044233,72.5486645884888
Australia,AUS,0.587161102950546,,,,5.12790012359619,13.6029195785522,,,3862,3169,164.553985595703,96.38096,92.28431,53934.2501750463,,,,,,,,2.5,6.57242131989068,922957692.480288,26.6087236275048,2.70247380513086,48198614234.959,,,24.1007574543259,20.714437559185,23.4671582218979,3.74509003702453,1.94864740944522,24.8181961832851,2001928453.24729,1326882872011.46,2.29592694694063,21.2253185048263
Austria,AUT,1.55072408627153,99.4531784057617,100.042900085449,98.8947830200195,5.3718900680542,10.9303102493286,,,,,104.383750915527,88.61718,87.00131,47429.1584564387,99.7342987060547,99.4899826049805,2.59597,3.22086,,,,2.5,12.8840245905025,1284820931.09535,44.3298871104373,1.21053643138638,13518864836.285,,,24.8384192986677,50.8876917912507,25.4118677707583,1.0055341594591,2.08126911385587,43.5561553768395,2956934245.82417,417261151844.977,2.25857243250671,54.0511531414978
Bangladesh,BGD,6.1364783118442,,,,,16.0549793243408,,,,,41.7395782470703,,63.74088,1563.76781861826,,,4.45949,5.03379,,,,12.5,24.3918217415479,36917.9789255317,,13.4134659962126,1810395803.56746,1.45206363515987,3781770019.53125,30.5104546214646,20.2678924628174,27.7508999829539,6.27869284538703,5.70207015717245,,13501933032.7097,249710922462.309,7.28417442269364,15.0361076278794
Barbados,BRB,0.323816531140466,,,,4.36638021469116,12.879150390625,,,287,432,89.4510726928711,94.99257,95.94098,17391.6689084614,,,,,,,,4.3,,,,,206157362.7,,,15.6322940940137,40.7227069104058,,2.5768287269584,4.66018463955997,,108317190.29,4.978e+09,0.475110679192298,42.1915940136601
Benin,BEN,2.80528150351485,,,,3.53558993339539,19.8796501159668,,,,,25.2087802886963,97.03352,,1136.59387178448,,,,,,,,7.2,2.68841009378034,0,,28.4890165273264,200902719.348049,5.41340215457579,6.8e+08,23.9604222292501,34.2710021769642,15.1075858507501,-0.367891613531654,1.76941247391975,,195776833.870764,12701654743.2149,5.67155546944753,27.2055947818832
Bolivia,BOL,2.69615523107971,91.6103134155273,91.0305404663086,92.1662292480469,,,,,59056,59300,73.7857894897461,90.87779,76.1901,3351.12434384125,96.3788986206055,94.7941513061523,1.88383,2.66304,97.11572,97.48533,,12.5,5.59161914487553,24482350.0385278,,11.5893359419581,712474137.775022,2.60765428436101,949159973.144531,22.2202865917657,31.8005084708489,26.3699744223227,6.06139996076533,2.8227580554717,,1407996988.86426,37508642165.3366,4.1952063010676,24.9041442940204
